date,level
2018-08-01,1000.0000
2018-08-02,991.3467
2018-08-03,992.5758
2018-08-06,993.3904
2018-08-07,998.7096
2018-08-08,990.4242
2018-08-09,997.5798
2018-08-10,983.5606
2018-08-13,988.8973
2018-08-14,987.7179
2018-08-15,980.9009
2018-08-16,978.2880
2018-08-17,975.7043
2018-08-20,983.2219
2018-08-21,991.5599
2018-08-22,993.8516
2018-08-23,977.8355
2018-08-24,986.3662
2018-08-27,1000.7182
2018-08-28,1002.1662
2018-08-29,1016.0803
2018-08-30,1008.5014
2018-08-31,1014.9622
2018-09-03,1015.0615
2018-09-04,1010.8633
2018-09-05,1004.3529
2018-09-06,1004.2274
2018-09-07,1004.7324
2018-09-10,1010.8049
2018-09-11,1010.5188
2018-09-12,1012.8719
2018-09-13,1020.0946
2018-09-14,1021.3675
2018-09-17,1027.2035
2018-09-18,1039.6812
2018-09-19,1040.4753
2018-09-20,1038.9484
2018-09-21,1050.1620
2018-09-24,1052.2290
2018-09-25,1058.3832
2018-09-26,1051.0525
2018-09-27,1071.5237
2018-09-28,1075.0912
2018-10-01,1073.7278
2018-10-02,1063.9477
2018-10-03,1083.1489
2018-10-04,1070.6040
2018-10-05,1064.4673
2018-10-08,1067.9152
2018-10-09,1063.8951
2018-10-10,1052.5151
2018-10-11,1032.9548
2018-10-12,1050.2321
2018-10-15,1044.1275
2018-10-16,1056.4564
2018-10-17,1054.1500
2018-10-18,1039.8126
2018-10-19,1025.0226
2018-10-22,1009.1846
2018-10-23,1007.8825
2018-10-24,1021.3967
2018-10-25,1019.2538
2018-10-26,1002.4786
2018-10-29,1012.9011
2018-10-30,1005.4360
2018-10-31,1028.4851
2018-11-01,1031.3812
2018-11-02,1039.5206
2018-11-06,1054.5412
2018-11-07,1068.9779
2018-11-08,1066.0409
2018-11-09,1050.6759
2018-11-12,1046.4514
2018-11-13,1038.2040
2018-11-14,1039.7980
2018-11-15,1041.0504
2018-11-16,1037.2113
2018-11-19,1037.6960
2018-11-20,1023.6300
2018-11-21,1030.7856
2018-11-22,1035.8392
2018-11-23,1024.2285
2018-11-26,1009.1583
2018-11-27,1022.3659
2018-11-28,1040.9044
2018-11-29,1048.5301
2018-11-30,1045.8792
2018-12-03,1067.8276
2018-12-04,1068.7852
2018-12-05,1069.7370
2018-12-06,1055.1952
2018-12-07,1063.4981
2018-12-10,1048.4279
2018-12-11,1047.3010
2018-12-12,1036.8406
2018-12-13,1040.4052
2018-12-14,1034.8028
2018-12-17,1032.3709
2018-12-18,1028.5026
2018-12-19,1032.1315
2018-12-20,1033.1796
2018-12-21,1030.6718
2018-12-24,1019.7384
2018-12-25,1006.0491
2018-12-26,1013.9491
2018-12-27,1022.2754
2018-12-28,1035.7516
2018-12-29,1040.5074
2019-01-03,1043.2634
2019-01-04,1056.8330
2019-01-08,1051.7064
2019-01-09,1062.4617
2019-01-10,1071.4624
2019-01-11,1075.9963
2019-01-14,1074.1045
2019-01-15,1073.8388
2019-01-16,1071.6609
2019-01-17,1077.4005
2019-01-18,1088.8331
2019-01-21,1086.4742
2019-01-22,1086.6844
2019-01-23,1096.7039
2019-01-24,1092.8386
2019-01-25,1099.6701
2019-01-28,1090.2403
2019-01-29,1099.7227
2019-01-30,1105.6696
2019-01-31,1109.7364
2019-02-01,1110.2152
2019-02-04,1111.0180
2019-02-05,1121.4726
2019-02-06,1118.1532
2019-02-07,1105.0156
2019-02-08,1101.9035
2019-02-11,1105.1616
2019-02-12,1115.3330
2019-02-13,1094.3917
2019-02-14,1083.4117
2019-02-15,1096.3302
2019-02-18,1088.5149
2019-02-19,1082.4132
2019-02-20,1095.2997
2019-02-21,1087.5544
2019-02-22,1095.6559
2019-02-25,1098.2980
2019-02-26,1098.0294
2019-02-27,1096.5463
2019-02-28,1094.1757
2019-03-01,1090.9818
2019-03-04,1089.1221
2019-03-05,1085.7939
2019-03-06,1098.0381
2019-03-07,1090.3775
2019-03-11,1085.6655
2019-03-12,1086.6844
2019-03-13,1087.7237
2019-03-14,1082.0775
2019-03-15,1090.4184
2019-03-18,1093.4867
2019-03-19,1097.7024
2019-03-20,1102.5253
2019-03-21,1104.1018
2019-03-22,1097.4484
2019-03-25,1099.6000
2019-03-26,1106.2214
2019-03-27,1095.1508
2019-03-28,1097.3170
2019-03-29,1099.3840
2019-04-01,1110.0166
2019-04-02,1112.8894
2019-04-03,1114.8921
2019-04-04,1116.2905
2019-04-05,1118.7079
2019-04-08,1127.1100
2019-04-09,1131.6031
2019-04-10,1135.2582
2019-04-11,1123.3147
2019-04-12,1126.9553
2019-04-15,1120.5267
2019-04-16,1127.0079
2019-04-17,1130.7156
2019-04-18,1127.4312
2019-04-19,1128.7946
2019-04-22,1137.9704
2019-04-23,1139.1761
2019-04-24,1135.4655
2019-04-25,1127.4925
2019-04-26,1128.7157
2019-04-29,1131.4045
2019-04-30,1126.7772
2019-05-02,1133.7781
2019-05-03,1137.6230
2019-05-06,1137.6142
2019-05-07,1131.1535
2019-05-08,1122.3951
2019-05-10,1109.3539
2019-05-13,1107.6957
2019-05-14,1131.2994
2019-05-15,1128.1348
2019-05-16,1139.8914
2019-05-17,1138.2886
2019-05-20,1135.7137
2019-05-21,1155.5338
2019-05-22,1165.3286
2019-05-23,1156.4534
2019-05-24,1157.8373
2019-05-27,1163.8981
2019-05-28,1153.6566
2019-05-29,1167.5240
