date,level
2025-01-03,1000.0000
2025-01-06,998.9924
2025-01-08,1022.3690
2025-01-09,992.4182
2025-01-10,1014.8708
2025-01-13,1026.7607
2025-01-14,1022.2929
2025-01-15,1035.5972
2025-01-16,1059.5936
2025-01-17,1074.1298
2025-01-20,1068.6659
2025-01-21,1049.9890
2025-01-22,1062.8028
2025-01-23,1045.1106
2025-01-24,1042.4984
2025-01-27,1027.5097
2025-01-28,1037.6695
2025-01-29,1047.3464
2025-01-30,1049.9852
2025-01-31,1040.9319
2025-02-03,1018.7492
2025-02-04,1004.1673
2025-02-05,993.6806
2025-02-06,1004.0723
2025-02-07,982.0683
2025-02-10,975.5321
2025-02-11,983.0379
2025-02-12,984.1025
2025-02-13,1006.7833
2025-02-14,1001.2662
2025-02-17,1019.2853
2025-02-18,1002.5475
2025-02-19,1007.5134
2025-02-20,1016.9203
2025-02-21,1019.8785
2025-02-24,1038.4300
2025-02-25,1043.4604
2025-02-26,1024.3234
2025-02-27,1013.5895
2025-02-28,1008.7339
2025-03-03,990.6653
2025-03-04,1022.5211
2025-03-05,1024.3728
2025-03-06,1008.3575
2025-03-07,990.7414
2025-03-10,1003.1103
2025-03-11,1001.7186
2025-03-12,992.1216
2025-03-13,970.6918
2025-03-14,992.4486
2025-03-17,1008.6008
2025-03-18,1009.8176
2025-03-19,1004.2548
2025-03-20,990.0417
2025-03-21,967.8287
2025-03-24,960.3837
2025-03-25,953.1213
2025-03-26,943.6536
2025-03-27,920.5697
2025-03-28,908.1894
2025-03-31,920.4975
2025-04-01,913.6381
2025-04-02,903.9917
2025-04-03,891.4402
2025-04-04,870.3450
2025-04-07,849.1700
2025-04-08,850.4095
2025-04-09,817.5652
2025-04-10,848.7821
2025-04-11,864.3716
2025-04-14,860.8545
2025-04-15,854.5160
2025-04-16,867.2690
2025-04-17,862.0522
2025-04-18,855.2689
2025-04-21,866.5997
2025-04-22,885.5124
2025-04-23,883.3147
2025-04-24,882.7558
2025-04-25,897.7521
2025-04-28,892.2805
2025-04-29,868.9914
2025-04-30,857.8050
2025-05-02,836.8999
2025-05-05,814.2876
2025-05-06,841.1319
2025-05-07,839.6186
2025-05-08,842.3676
2025-05-12,862.6453
2025-05-13,862.4971
2025-05-14,863.1016
2025-05-15,838.6642
2025-05-16,844.4513
2025-05-19,849.3981
2025-05-20,838.7212
2025-05-21,829.9531
2025-05-22,830.4512
2025-05-23,823.8123
2025-05-26,797.0783
2025-05-27,815.3408
2025-05-28,824.2420
2025-05-29,830.9683
2025-05-30,833.7098
2025-06-02,836.2269
2025-06-03,847.2764
2025-06-04,860.2955
2025-06-05,877.4363
2025-06-06,857.8278
2025-06-09,839.1319
2025-06-10,833.1850
2025-06-11,825.1089
2025-06-13,818.8123
2025-06-16,819.3332
2025-06-17,829.2497
2025-06-18,838.6718
2025-06-19,836.8961
2025-06-20,823.1812
2025-06-23,820.1887
2025-06-24,823.9454
2025-06-25,851.7441
2025-06-26,848.1509
2025-06-27,847.4209
2025-06-30,864.7442
2025-07-01,873.3412
2025-07-02,870.5161
2025-07-03,889.5999
2025-07-04,875.5238
2025-07-07,868.1435
2025-07-08,887.4516
2025-07-09,879.7748
2025-07-10,898.9194
2025-07-11,880.1854
2025-07-14,893.7596
2025-07-15,918.4480
2025-07-16,923.7941
2025-07-17,920.9462
2025-07-18,934.9463
2025-07-21,940.0794
2025-07-22,937.2543
2025-07-23,942.7220
2025-07-24,933.7181
2025-07-25,922.0032
2025-07-28,909.6305
2025-07-29,915.9575
2025-07-30,913.7750
2025-07-31,916.5013
2025-08-01,914.4138
2025-08-04,916.2617
2025-08-05,917.1857
2025-08-06,908.8244
2025-08-07,923.1553
2025-08-08,940.7638
2025-08-11,947.5585
2025-08-12,963.7069
2025-08-13,963.4750
2025-08-14,957.1213
2025-08-15,959.0529
2025-08-18,953.4863
2025-08-19,964.0910
2025-08-20,963.5244
2025-08-21,948.1403
2025-08-22,951.2620
2025-08-25,947.6574
2025-08-26,950.2734
2025-08-27,953.4749
2025-08-28,950.8818
2025-08-29,939.4596
2025-09-01,934.3759
2025-09-02,917.6077
2025-09-03,923.1021
2025-09-04,925.4215
2025-09-05,935.3835
2025-09-08,940.6992
2025-09-09,940.9691
2025-09-10,939.3684
2025-09-11,938.3836
2025-09-12,920.5127
2025-09-15,907.2921
2025-09-16,904.4784
2025-09-17,899.7483
2025-09-18,898.6380
2025-09-19,885.6189
2025-09-22,877.7709
2025-09-23,894.0486
2025-09-24,886.7824
2025-09-25,885.5200
2025-09-26,876.3223
2025-09-29,850.1890
2025-09-30,835.5767
2025-10-01,815.5309
2025-10-02,815.5157
2025-10-03,803.2837
2025-10-06,798.7437
2025-10-07,806.9111
2025-10-08,766.6142
2025-10-09,780.3443
2025-10-10,763.7929
2025-10-13,769.4089
2025-10-14,760.0780
2025-10-15,757.1959
2025-10-16,767.5191
2025-10-17,812.6564
2025-10-20,824.6831
2025-10-21,807.6791
2025-10-22,806.5461
2025-10-23,791.2608
2025-10-24,788.4623
2025-10-27,765.6332
2025-10-28,769.9412
2025-10-29,779.3443
2025-10-30,791.5840
2025-10-31,779.5040
2025-11-01,782.5763
2025-11-03,792.4851
2025-11-05,794.2646
2025-11-06,796.6068
2025-11-07,803.8008
2025-11-10,807.1430
2025-11-11,805.1886
2025-11-12,797.4091
2025-11-13,794.2836
2025-11-14,790.0935
2025-11-17,785.3672
2025-11-18,792.0631
2025-11-19,808.8084
2025-11-20,807.2799
2025-11-21,815.0214
2025-11-24,808.0898
2025-11-25,814.6868
2025-11-26,809.5765
2025-11-27,801.2913
2025-11-28,807.6259
2025-12-01,810.8921
2025-12-02,809.7172
2025-12-03,806.5499
2025-12-04,817.2496
2025-12-05,827.5158
2025-12-08,834.1851
2025-12-09,826.2953
2025-12-10,824.8732
2025-12-11,831.2497
2025-12-12,813.0442
2025-12-15,806.5499
2025-12-16,811.5499
2025-12-17,806.5385
2025-12-18,812.8883
2025-12-19,804.4662
2025-12-22,794.9604
2025-12-23,798.5118
2025-12-24,799.3483
2025-12-25,803.5498
2025-12-26,818.7211
2025-12-29,817.1241
2025-12-30,825.0785
2026-01-05,817.3522
2026-01-06,812.9301
2026-01-08,801.1278
2026-01-09,804.3293
2026-01-12,815.4245
2026-01-13,819.1925
2026-01-14,818.4473
2026-01-15,817.4435
2026-01-16,829.2953
2026-01-19,833.4322
2026-01-20,822.8237
2026-01-21,833.5691
2026-01-22,836.5387
2026-01-23,839.4817
2026-01-26,837.9037
2026-01-27,847.5007
2026-01-28,853.1015
2026-01-29,849.8011
2026-01-30,845.8049
2026-02-02,847.3486
2026-02-03,853.5844
2026-02-04,853.9533
2026-02-05,835.8238
2026-02-06,836.8619
2026-02-09,826.4131
2026-02-10,825.1622
2026-02-11,841.5729
2026-02-12,847.0521
2026-02-13,856.7670
2026-02-16,864.3678
2026-02-17,855.4780
2026-02-18,861.6035
2026-02-19,867.5845
2026-02-20,866.9496
2026-02-24,869.0979
2026-02-25,871.0599
2026-02-26,873.1511
2026-02-27,874.1473
2026-03-02,852.3183
2026-03-03,836.5995
2026-03-04,845.3410
2026-03-05,844.8543
2026-03-06,841.5920
2026-03-09,839.1813
2026-03-10,846.8886
2026-03-11,841.0216
2026-03-12,843.4513
2026-03-13,845.8087
2026-03-16,847.3867
2026-03-17,847.0331
2026-03-18,847.2840
2026-03-19,834.0786
2026-03-20,829.9417
2026-03-23,820.7515
2026-03-24,820.5500
2026-03-25,827.8352
2026-03-26,817.0747
2026-03-27,802.7970
2026-03-30,811.9377
2026-03-31,807.0936
2026-04-01,815.5423
2026-04-02,812.8693
2026-04-03,808.3674
2026-04-06,808.4586
2026-04-07,806.9377
2026-04-08,809.8236
2026-04-09,799.1886
2026-04-10,796.0935
2026-04-13,783.1847
2026-04-14,788.3292
2026-04-15,795.8388
2026-04-16,800.6411
2026-04-17,803.2533
2026-04-20,808.3940
2026-04-21,806.9643
2026-04-22,813.5271
2026-04-23,816.2572
2026-04-24,803.5156
2026-04-27,798.5650
2026-04-28,779.1010
2026-04-29,765.5077
2026-04-30,771.6294
2026-05-04,765.1389
2026-05-05,770.5914
2026-05-06,773.8120
2026-05-07,770.0325
2026-05-08,763.2910
2026-05-11,781.3862
2026-05-12,777.6029
2026-05-13,780.6561
2026-05-14,774.1998
2026-05-15,763.4545
2026-05-18,772.0249
2026-05-19,774.0933
2026-05-20,772.2112
2026-05-21,777.8690
2026-05-22,767.9754
2026-05-25,762.7815
2026-05-26,750.1350
2026-05-27,758.4963
2026-05-28,756.8347
2026-05-29,749.2605
2026-06-01,745.0589
2026-06-02,752.2415
2026-06-03,753.7396
2026-06-04,741.8079
2026-06-05,734.4162
