date,level
2018-08-01,998.0000
2018-08-02,987.1995
2018-08-03,987.5660
2018-08-06,986.9948
2018-08-07,987.9902
2018-08-08,980.9985
2018-08-09,979.1146
2018-08-10,963.6008
2018-08-13,962.3913
2018-08-14,963.2310
2018-08-15,959.6409
2018-08-16,955.1209
2018-08-17,953.9894
2018-08-20,960.4803
2018-08-21,960.8421
2018-08-22,965.0929
2018-08-23,960.5857
2018-08-24,965.3336
2018-08-27,968.1630
2018-08-28,970.5014
2018-08-29,979.6724
2018-08-30,971.0983
2018-08-31,973.4370
2018-09-03,975.9077
2018-09-04,969.2367
2018-09-05,964.1082
2018-09-06,957.6264
2018-09-07,955.8769
2018-09-10,958.4574
2018-09-11,956.0063
2018-09-12,969.3533
2018-09-13,975.5784
2018-09-14,978.5770
2018-09-17,990.8083
2018-09-18,995.2466
2018-09-19,998.5038
2018-09-20,1003.6770
2018-09-21,1005.9985
2018-09-24,1005.5035
2018-09-25,1004.9181
2018-09-26,1001.9437
2018-09-27,1010.4115
2018-09-28,1003.5980
2018-10-01,999.7159
2018-10-02,1005.2606
2018-10-03,1019.3322
2018-10-04,1010.1712
2018-10-05,1005.5065
2018-10-08,1008.7763
2018-10-09,1005.3971
2018-10-10,985.5662
2018-10-11,963.1329
2018-10-12,974.4638
2018-10-15,976.6018
2018-10-16,982.6006
2018-10-17,983.5400
2018-10-18,976.9729
2018-10-19,965.7941
2018-10-22,948.4337
2018-10-23,941.5680
2018-10-24,939.3287
2018-10-25,939.6319
2018-10-26,922.6198
2018-10-29,930.3776
2018-10-30,930.8389
2018-10-31,945.4241
2018-11-01,944.7913
2018-11-02,947.1495
2018-11-06,954.6654
2018-11-07,956.6546
2018-11-08,954.5140
2018-11-09,949.4362
2018-11-12,946.9155
2018-11-13,948.1757
2018-11-14,955.7014
2018-11-15,956.3678
2018-11-16,955.7858
2018-11-19,952.5399
2018-11-20,942.1802
2018-11-21,942.3408
2018-11-22,948.5555
2018-11-23,948.2259
2018-11-26,936.4677
2018-11-27,943.6272
2018-11-28,954.2657
2018-11-29,962.5925
2018-11-30,949.6490
2018-12-03,963.7885
2018-12-04,961.1757
2018-12-05,964.9642
2018-12-06,954.8091
2018-12-07,954.6123
2018-12-10,944.6832
2018-12-11,938.7356
2018-12-12,933.0039
2018-12-13,935.6949
2018-12-14,929.6172
2018-12-17,928.2632
2018-12-18,925.8761
2018-12-19,927.0182
2018-12-20,923.6296
2018-12-21,929.2278
2018-12-24,922.4413
2018-12-25,915.7529
2018-12-26,921.0061
2018-12-27,923.0181
2018-12-28,927.2037
2018-12-29,936.1761
2019-01-03,941.2364
2019-01-04,946.4795
2019-01-08,939.2695
2019-01-09,953.9973
2019-01-10,958.5313
2019-01-11,968.4361
2019-01-14,968.1736
2019-01-15,967.6468
2019-01-16,969.3149
2019-01-17,967.6814
2019-01-18,975.0109
2019-01-21,976.8764
2019-01-22,970.5658
2019-01-23,978.0842
2019-01-24,972.6020
2019-01-25,980.0381
2019-01-28,972.4177
2019-01-29,973.4042
2019-01-30,975.9646
2019-01-31,979.2084
2019-02-01,981.6682
2019-02-04,983.4668
2019-02-05,985.6219
2019-02-06,986.0979
2019-02-07,975.3354
2019-02-08,973.3214
2019-02-11,977.6071
2019-02-12,980.7391
2019-02-13,968.4203
2019-02-14,962.4251
2019-02-15,970.1629
2019-02-18,965.3157
2019-02-19,958.2019
2019-02-20,962.7073
2019-02-21,957.9745
2019-02-22,962.7179
2019-02-25,965.4712
2019-02-26,967.7353
2019-02-27,963.4287
2019-02-28,964.3577
2019-03-01,961.7934
2019-03-04,964.0911
2019-03-05,962.4830
2019-03-06,964.6321
2019-03-07,963.7162
2019-03-11,958.7409
2019-03-12,957.2197
2019-03-13,964.0673
2019-03-14,960.2350
2019-03-15,962.7725
2019-03-18,968.8905
2019-03-19,968.1983
2019-03-20,964.4078
2019-03-21,968.6721
2019-03-22,961.2528
2019-03-25,959.5659
2019-03-26,962.6991
2019-03-27,954.9067
2019-03-28,958.4340
2019-03-29,959.4246
2019-04-01,968.9784
2019-04-02,967.6863
2019-04-03,966.1754
2019-04-04,971.7204
2019-04-05,974.0084
2019-04-08,977.5499
2019-04-09,980.0246
2019-04-10,987.6085
2019-04-11,975.5435
2019-04-12,979.5452
2019-04-15,975.9410
2019-04-16,989.6624
2019-04-17,992.9416
2019-04-18,988.8876
2019-04-19,993.3617
2019-04-22,995.1516
2019-04-23,989.7265
2019-04-24,988.3059
2019-04-25,983.1563
2019-04-26,985.8854
2019-04-29,988.5845
2019-04-30,988.5840
2019-05-02,994.6697
2019-05-03,995.0550
2019-05-06,997.6447
2019-05-07,1000.2784
2019-05-08,993.1385
2019-05-10,980.4604
2019-05-13,970.5227
2019-05-14,999.9703
2019-05-15,1002.8312
2019-05-16,1018.7670
2019-05-17,1020.2916
2019-05-20,1026.4377
2019-05-21,1032.9813
2019-05-22,1034.8833
2019-05-23,1025.9668
2019-05-24,1028.6510
2019-05-27,1031.9593
2019-05-28,1027.7504
2019-05-29,1031.1441
2019-05-30,1039.9970
2019-05-31,1043.1592
2019-06-03,1055.8633
2019-06-04,1057.7999
2019-06-05,1055.3772
2019-06-06,1066.0538
2019-06-07,1066.6848
2019-06-10,1074.2337
2019-06-11,1082.3190
2019-06-13,1088.6390
2019-06-14,1090.9891
2019-06-17,1095.6199
2019-06-18,1100.0410
2019-06-19,1107.9945
2019-06-20,1113.2381
2019-06-21,1104.4017
2019-06-24,1106.9255
2019-06-25,1106.8565
2019-06-26,1113.2402
2019-06-27,1115.2301
2019-06-28,1105.5880
2019-07-01,1107.7123
2019-07-02,1118.4975
2019-07-03,1116.9931
2019-07-04,1126.1456
2019-07-05,1124.0158
2019-07-08,1121.6376
2019-07-09,1116.6760
2019-07-10,1124.2789
2019-07-11,1108.9855
2019-07-12,1106.5702
2019-07-15,1112.1652
2019-07-16,1100.5410
2019-07-17,1073.5954
2019-07-18,1098.8688
2019-07-19,1097.5591
2019-07-22,1093.4859
2019-07-23,1097.0120
2019-07-24,1090.4939
2019-07-25,1101.0603
2019-07-26,1105.4583
2019-07-29,1111.0454
2019-07-30,1113.7541
2019-07-31,1114.9704
2019-08-01,1113.9686
2019-08-02,1104.9611
2019-08-05,1100.1591
2019-08-06,1103.7556
2019-08-07,1106.1670
2019-08-08,1111.4926
2019-08-09,1107.9530
2019-08-12,1107.8280
2019-08-13,1105.1730
2019-08-14,1099.7960
2019-08-15,1090.5525
