date,level,divisor,total_ff_mcap
2026-05-15,1000.0000,53352128.60,53352128600.00
2026-05-18,994.1178,53352128.60,53038301700.00
2026-05-18,993.6293,53352128.60,53012240500.00
2026-05-18,991.9572,53352128.60,52923029450.00
2026-04-01,1050.1157,53352128.60,56025905250.00
2026-04-02,1047.8653,53352128.60,55905846900.00
2026-04-03,1044.8349,53352128.60,55744165500.00
2026-04-06,1051.8968,53352128.60,56120933800.00
2026-04-07,1045.9820,53352128.60,55805363800.00
2026-04-08,1041.5133,53352128.60,55566949550.00
2026-04-09,1037.9747,53352128.60,55378158000.00
2026-04-10,1032.4063,53352128.60,55081074000.00
2026-04-13,1031.9175,53352128.60,55054992650.00
2026-04-14,1032.5860,53352128.60,55090662100.00
2026-04-15,1049.2765,53352128.60,55981135400.00
2026-04-16,1047.7101,53352128.60,55897561550.00
2026-04-17,1045.0917,53352128.60,55757864550.00
2026-04-20,1041.4257,53352128.60,55562278550.00
2026-04-21,1038.7504,53352128.60,55419546150.00
2026-04-22,1041.3691,53352128.60,55559255800.00
2026-04-23,1033.7353,53352128.60,55151979000.00
2026-04-24,1029.0577,53352128.60,54902416750.00
2026-04-27,1014.0983,53352128.60,54104304350.00
2026-04-28,1003.4605,53352128.60,53536751200.00
2026-04-29,998.5966,53352128.60,53277252750.00
2026-04-30,994.4832,53352128.60,53057795450.00
2026-05-18,996.2117,53352128.60,53150015850.00
