date,level,divisor,total_ff_mcap
2025-01-03,1000.0000,1.000000e-03,460568093947.58
2025-01-06,999.1817,1.000000e-03,460470826523.55
2025-01-08,1013.8385,1.000000e-03,465006720134.61
2025-01-09,982.8311,1.000000e-03,451256192386.32
2025-01-10,1013.2683,1.000000e-03,466219129473.57
2025-01-13,1016.8141,1.000000e-03,469944123148.69
2025-01-14,1027.2719,1.000000e-03,475901249725.60
2025-01-15,1044.3075,1.000000e-03,481694879847.21
2025-01-16,1050.9506,1.000000e-03,482750862186.65
2025-01-17,1076.5804,1.000000e-03,493826741164.36
2025-01-20,1053.0002,1.000000e-03,482361422832.62
2025-01-21,1058.2804,1.000000e-03,486882428986.69
2025-01-22,1053.0700,1.000000e-03,483552206979.70
2025-01-23,1063.9215,1.000000e-03,488660501397.75
2025-01-24,1054.7957,1.000000e-03,484786544222.01
2025-01-27,1032.6586,1.000000e-03,474255574258.36
2025-01-28,1051.8148,1.000000e-03,483836149811.58
2025-01-29,1052.6083,1.000000e-03,484923975215.90
2025-01-30,1065.0187,1.000000e-03,491106222190.89
2025-01-31,1050.0525,1.000000e-03,484821699987.40
2025-02-03,1036.3400,1.000000e-03,479537215547.00
2025-02-04,1015.5043,1.000000e-03,470967173371.35
2025-02-05,1029.8972,1.000000e-03,480153710941.68
2025-02-06,1037.7977,1.000000e-03,486586640142.08
2025-02-07,1019.3853,1.000000e-03,479808430348.35
2025-02-10,1014.7613,1.000000e-03,480374072232.47
2025-02-11,1034.8432,1.000000e-03,489743636688.62
2025-02-12,1079.7088,1.000000e-03,514610293112.79
2025-02-13,1065.0031,1.000000e-03,508327446461.45
2025-02-14,1059.6326,1.000000e-03,508635012148.13
2025-02-17,1096.5636,1.000000e-03,527472321255.53
2025-02-18,1063.9161,1.000000e-03,510171224482.76
2025-02-19,1080.0264,1.000000e-03,519808150259.11
2025-02-20,1086.5757,1.000000e-03,522437294513.00
2025-02-21,1093.6713,1.000000e-03,526873559183.26
2025-02-24,1108.9073,1.000000e-03,531870971552.91
2025-02-25,1115.6650,1.000000e-03,533001304212.49
2025-02-26,1077.8023,1.000000e-03,514027154536.05
2025-02-27,1055.2874,1.000000e-03,503241534540.90
2025-02-28,1071.0122,1.000000e-03,510453640707.69
2025-03-03,1054.4222,1.000000e-03,503284129455.61
2025-03-04,1090.7885,1.000000e-03,523487869067.18
2025-03-05,1073.9923,1.000000e-03,513902358922.61
